iso_code,Country,total_cases,total_cases_per_million,Average Increasing rate(valid data),ratio of Total_cases to Lasting time,Death rate,Average Temperature-May,Average Temperature-April,Average Temperature-April&May,Population density (people per sq. km of land area),GDP per capita (constant 2010 US$),Current health expenditure(% of GDP),"Employment to population ratio, 15+, total (%) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Adjusted savings: education expenditure (% of GNI),Urban population (% of total population),People using at least basic sanitation services (% of population),"Physicians (per 1,000 people)",Haq index
IRQ,Iraq,3611,89.776,0.091182132,1.043906977,0.036278039,34,27.83809524,30.91904762,88.53057004,5477.696148,4.166630283,37.48400116,12.82199955,4.6,70.473,94.12102245,0.8375,51.1
ISL,Iceland,1802,5280.586,0.084076884,62.86411905,0.00554939,28.05384615,27.82666667,27.94025641,3.518413965,52229.17359,8.326291293,72.90000153,2.842000008,7.441646535,93.813,98.78216824,3.9773,81.9
ISR,Israel,16650,1923.623,0.104358335,21.85935227,0.016636637,34,27.83809524,30.91904762,410.4805915,34749.6782,7.407464087,61.56900024,3.861000061,5.346643715,92.418,100.0000015,3.4783,71.3
ITA,Italy,226699,3749.457,0.085756931,33.1810354,0.141901817,34,27.83809524,30.91904762,205.4183722,35437.44092,8.840259165,44.65499878,9.887000084,3.682532858,70.438,98.77243267,3.9805,76.2
JAM,Jamaica,520,175.607,0.068916568,2.508671429,0.017307692,34,27.83809524,30.91904762,270.9930748,4855.262071,5.988416821,60.74599838,8.001999855,5.554724972,55.674,87.31260017,1.3061,55
JOR,Jordan,649,63.608,0.061482869,0.908685714,0.013867488,21.14285714,16.21388889,18.67837302,112.1424983,3266.746985,8.119250834,33.52099991,14.71500015,3.230699326,90.979,97.33975414,2.3237,59.1
JPN,Japan,16385,129.55,0.07540552,1.004263566,0.047055233,19.02051282,14.17,16.59525641,347.0734584,48919.79894,10.93593314,60.31200027,2.290999889,2.733193791,91.616,99.89470757,,78.3
KAZ,Kazakhstan,6969,371.151,0.104534627,5.379,0.005022241,21.14285714,16.21388889,18.67837302,6.768318702,11168.03076,3.125361726,65.60099792,4.590000153,2.994199873,57.428,97.87370168,,55.1
KGZ,Kyrgyzstan,1270,194.66,0.078343021,3.0415625,0.011023622,17.13254438,10.80153846,13.96704142,32.96558916,1086.000413,6.185863167,56.04399872,6.329999924,5.387821555,36.351,96.50706696,,52.5
KOR,South Korea,11110,216.699,0.070011023,1.747572581,0.023672367,30.4,29.26153846,29.83076923,529.3585013,26776.78457,7.603863627,60.35800171,4.147999763,4.63873508,81.459,100,2.3608,61.7
KWT,Kuwait,16764,3925.478,0.100932284,45.64509302,0.007217848,30.55384615,26.69666667,28.62525641,232.1722222,33112.13041,5.291384831,71.88899994,2.181999922,3.19,100,100,,71.7
LBN,Lebanon,954,139.771,0.078988397,1.606563218,0.027253669,8.753846154,6.366666667,7.56025641,669.4941349,6249.766655,8.195544034,44.08499908,6.229000092,2.1,88.593,98.47663917,2.0255,58.7
LBR,Liberia,233,46.069,0.068984984,0.698015152,0.098712446,8.753846154,6.366666667,7.56025641,50.03090739,541.2713241,8.155337721,74.16699982,2.813999891,3.66,51.151,16.9735177,,34.7
LKA,Sri Lanka,1027,47.961,0.064759186,0.448233645,0.008763389,16.48632479,12.95111111,14.71871795,345.558922,3936.450246,3.8114205,51.65200043,4.197999954,1.620590706,18.476,95.78172636,0.9277,56.9
